Donation ID,Date,Donor Name,Email,Amount,Validation_Tier,Issues,Suggested_Modifications
GB213,2026-05-20,Taylor 13,taylor13@gmal.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB202; Name match (70%): GB206; Name match (70%): GB209; Name match (70%): GB221; Name match (70%): GB224,Consider: taylor13@gmail.com; Add phone numbers to your donations export
GB214,2026-05-20,Jordan 14,jordan14@hotmial.com,99,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB210; Name match (70%): GB217; Name match (70%): GB220; Name match (70%): GB223; Name match (70%): GB225; Name match (70%): GB227,Consider: jordan14@hotmail.com; Add phone numbers to your donations export
GB215,2026-05-20,Casey 15,duplicate@gmai.com,1200,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB212; Name match (70%): GB218; Name match (70%): GB219; Email match: GB230; Name match (70%): GB232,Consider: duplicate@gmail.com; Add phone numbers to your donations export
GB216,2026-05-20,Avery 16,avery16@gmal.com,50,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB211; Name match (70%): GB226; Name match (70%): GB235,Consider: avery16@gmail.com; Add phone numbers to your donations export
GB217,2026-05-20,Jordan 17,jordan17@yaho.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB220; Name match (70%): GB223; Name match (70%): GB225; Name match (70%): GB227,Consider: jordan17@yahoo.com; Add phone numbers to your donations export
GB218,2026-05-20,Casey 18,casey18@hotmail.com,25,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB212; Name match (70%): GB215; Name match (70%): GB219; Name match (70%): GB232,Add phone numbers to your donations export
GB219,2026-05-20,Casey 19,casey19@gmail.com,2000,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB212; Name match (70%): GB215; Name match (70%): GB218; Name match (70%): GB232,Add phone numbers to your donations export
GB220,2026-05-20,Jordan 20,jordan20@yaho.com,50,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB223; Name match (70%): GB225; Name match (70%): GB227,Consider: jordan20@yahoo.com; Add phone numbers to your donations export
GB221,2026-05-20,Taylor 21,taylor21@yaho.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB202; Name match (70%): GB206; Name match (70%): GB209; Name match (70%): GB213; Name match (70%): GB224,Consider: taylor21@yahoo.com; Add phone numbers to your donations export
GB222,2026-05-20,Morgan 22,,50,FAIL,Email: Email field is empty; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Add phone numbers to your donations export
GB223,2026-05-20,Jordan 23,jordan23@hotmial.com,99,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB220; Name match (70%): GB225; Name match (70%): GB227,Consider: jordan23@hotmail.com; Add phone numbers to your donations export
GB224,2026-05-20,Taylor 24,taylor24@hotmial.com,50,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB202; Name match (70%): GB206; Name match (70%): GB209; Name match (70%): GB213; Name match (70%): GB221,Consider: taylor24@hotmail.com; Add phone numbers to your donations export
GB225,2026-05-20,Jordan 25,jordan25@yahoo.com,50,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB220; Name match (70%): GB223; Name match (70%): GB227,Add phone numbers to your donations export
GB226,2026-05-20,Avery 26,avery26@hotmail.com,1500,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB211; Name match (70%): GB216; Name match (70%): GB235,Add phone numbers to your donations export
GB227,2026-05-20,Jordan 27,jordan27@gmai.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB210; Name match (70%): GB214; Name match (70%): GB217; Name match (70%): GB220; Name match (70%): GB223; Name match (70%): GB225,Consider: jordan27@gmail.com; Add phone numbers to your donations export
GB228,2026-05-20,Morgan 28,morgan28@gmai.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB222; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Consider: morgan28@gmail.com; Add phone numbers to your donations export
GB229,2026-05-20,Morgan 29,morgan29@hotmail.com,500,WARNING,Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Add phone numbers to your donations export
GB230,2026-05-20,Morgan 30,duplicate@gmai.com,1200,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Email match: GB215; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB231; Name match (70%): GB233; Name match (70%): GB234,Consider: duplicate@gmail.com; Add phone numbers to your donations export
GB231,2026-05-20,Morgan 31,morgan31@yaho.com,75,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB233; Name match (70%): GB234,Consider: morgan31@yahoo.com; Add phone numbers to your donations export
GB232,2026-05-20,Casey 32,casey32@gmai.com,99,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB212; Name match (70%): GB215; Name match (70%): GB218; Name match (70%): GB219,Consider: casey32@gmail.com; Add phone numbers to your donations export
GB233,2026-05-20,Morgan 33,,1001,FAIL,Email: Email field is empty; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB234,Add phone numbers to your donations export
GB234,2026-05-20,Morgan 34,morgan34@gmai.com,2000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB201; Name match (70%): GB208; Name match (70%): GB222; Name match (70%): GB228; Name match (70%): GB229; Name match (70%): GB230; Name match (70%): GB231; Name match (70%): GB233,Consider: morgan34@gmail.com; Add phone numbers to your donations export
GB235,2026-05-20,Avery 35,avery35@hotmial.com,1000,WARNING,Email: Email typo detected; Phone: Phone number not found; Duplicate: Name match (70%): GB211; Name match (70%): GB216; Name match (70%): GB226,Consider: avery35@hotmail.com; Add phone numbers to your donations export
